Datasource:,https://walmart-open-data-walmarttech.opendata.arcgis.com/maps/walmarttech::walmart-store-status-web-map/about,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OID_,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
15261,MACON GA,1076,WM Supercenter,Retail,1,1401 GRAY HWY,MACON,BIBB,GA,31211-1905,5,Open,,Y,Y,1076,No,Available,No,Available
15262,"TALLAHASSEE, FL",1077,WM Supercenter,Retail,1,3535 APALACHEE PKWY,TALLAHASSEE,LEON,FL,32311-5330,5,Open,,Y,Y,1077,No,Available,No,Available
15263,BALLINGER TX,1078,Wal-Mart,Retail,1,2005 HUTCHINS AVE,BALLINGER,RUNNELS,TX,76821-4427,2,Open,,Y,Y,1078,No,,No,
15264,NEW SMYRNA BEACH FL,1079,WM Supercenter,Retail,1,3155 STATE RD 44,NEW SMYRNA BEACH,VOLUSIA,FL,32168-8880,5,Open,,Y,Y,1079,No,Not Available,Yes,Not Available
15265,GUTHRIE OK,108,WM Supercenter,Retail,1,1608 S DIVISION ST,GUTHRIE,LOGAN,OK,73044-5015,5,Open,,Y,Y,108,No,,Yes,Not Available
15266,JOHNSON CITY TN,1080,WM Supercenter,Retail,1,3111 BROWNS MILL RD,JOHNSON CITY,WASHINGTON,TN,37604-1418,5,Open,,Y,Y,1080,No,Available,No,Available
15267,GAINESVILLE FL,1081,WM Supercenter,Retail,1,2900 SW 42ND ST,GAINESVILLE,ALACHUA,FL,32608-2379,5,Open,,Y,Y,1081,No,Available,Yes,Available
15268,JACKSONVILLE FL,1082,WM Supercenter,Retail,1,10991 SAN JOSE BLVD STE 1,JACKSONVILLE,DUVAL,FL,32223-6600,5,Open,,Y,Y,1082,No,Available,No,
15269,JACKSONVILLE FL,1083,WM Supercenter,Retail,1,6830 NORMANDY BLVD,JACKSONVILLE,DUVAL,FL,32205-1902,5,Open,,Y,Y,1083,Yes,Not Available,Yes,Not Available
15270,ORLANDO FL,1084,Wal-Mart,Retail,1,3838 S SEMORAN BLVD,ORLANDO,ORANGE,FL,32822-4006,5,Open,,Y,Y,1084,No,,No,
15271,PORT RICHEY FL,1085,WM Supercenter,Retail,1,8701 US HIGHWAY 19,PORT RICHEY,PASCO,FL,34668-5349,5,Open,,Y,Y,1085,No,Available,No,Available
15272,SAINT CLOUD FL,1086,WM Supercenter,Retail,1,4400 13TH ST,SAINT CLOUD,OSCEOLA,FL,34769-6763,5,Open,,Y,Y,1086,No,Available,Yes,
15273,STUART FL,1087,WM Supercenter,Retail,1,4001 SE FEDERAL HWY,STUART,MARTIN,FL,34997-4909,5,Open,,Y,Y,1087,No,Available,No,Available
15274,BILOXI MS,1088,WM Supercenter,Retail,1,2681 CT SWITZER SR DR,BILOXI,HARRISON,MS,39531-4500,5,Open,,Y,Y,1088,No,Available,No,Available
15275,KIMBALL /JASPER TN,1089,WM Supercenter,Retail,1,525 KIMBALL CROSSING DR,KIMBALL,MARION,TN,37347-5649,5,Open,,Y,Y,1089,No,,No,Not Available
15276,CAMERON MO,109,WM Supercenter,Retail,1,2000 N WALNUT ST,CAMERON,DEKALB,MO,64429-8800,5,Open,,Y,Y,109,No,,No,
15277,JACKSONVILLE FL,1090,WM Supercenter,Retail,1,6767 103RD ST,JACKSONVILLE,DUVAL,FL,32210-7135,5,Open,,Y,Y,1090,No,,Yes,Not Available
15278,ANDALUSIA AL,1091,WM Supercenter,Retail,1,1991 M. L. KING JR.,ANDALUSIA,COVINGTON,AL,36420-4145,5,Open,,Y,Y,1091,No,,No,Available
15280,RANTOUL IL,1093,WM Supercenter,Retail,1,845 BROADMEADOW RD,RANTOUL,CHAMPAIGN,IL,61866-2119,5,Open,,Y,Y,1093,No,Available,No,Available
